25225201
3
1 2 0.27 0
4 2 0.27 0
5 0 0.27 0
0 61 0.71 1719899 1808099
0 64 0.71 1719899 1808099
0 67 0.71 1719899 1808099
1 49 0.71 1719899 1808099
1 52 0.71 1719899 1808099
1 58 0.71 1719899 1808099
1 55 0.71 1719899 1808099
2 38 0.71 1675799 1808099
0 70 0.71 1719899 1813612
0 69 0.71 1813612 1819124
0 67 0.71 1819124 1824637
0 65 0.71 1824637 1830149
0 64 0.71 1830149 1835662
0 62 0.71 1835662 1841174
0 61 0.71 1841174 1846687
0 59 0.71 1846687 1852199
0 61 0.71 1852199 1863224
0 57 0.71 1863224 1874249
0 61 0.71 1874249 1885274
0 64 0.71 1885274 1890787
0 67 0.71 1890787 1896299
0 65 0.71 1896299 1929374
0 64 0.71 1929374 1940399
0 62 0.71 1940399 1984499
0 65 0.71 1940399 1984499
1 50 0.71 1940399 1984499
2 38 0.71 1940399 1984499
0 69 0.71 2017574 2028599
0 74 0.71 2028599 2039624
1 69 0.71 2034112 2045137
0 76 0.71 2039624 2050649
1 69 0.71 2045137 2056162
0 77 0.71 2050649 2061674
1 69 0.71 2056162 2067187
0 74 0.71 2061674 2072699
1 69 0.71 2067187 2078212
0 76 0.71 2072699 2083724
1 69 0.71 2078212 2089237
0 77 0.71 2083724 2094749
1 69 0.71 2089237 2100262
0 79 0.71 2094749 2105774
1 69 0.71 2100262 2111287
0 76 0.71 2105774 2116799
1 69 0.71 2111287 2116799
0 77 0.71 2116799 2127824
1 69 0.71 2122312 2133337
0 79 0.71 2127824 2138849
1 69 0.71 2133337 2144362
0 81 0.71 2138849 2149874
1 69 0.71 2144362 2155387
0 77 0.71 2149874 2160899
1 69 0.71 2155387 2166412
0 79 0.71 2160899 2171924
1 69 0.71 2166412 2177437
0 81 0.71 2171924 2182949
1 69 0.71 2177437 2188462
0 82 0.71 2182949 2193974
1 69 0.71 2188462 2199487
0 79 0.71 2193974 2204999
1 69 0.71 2199487 2210512
0 81 0.71 2204999 2216024
1 69 0.71 2210512 2221537
0 77 0.71 2216024 2227049
1 69 0.71 2221537 2232562
0 79 0.71 2227049 2238074
1 69 0.71 2232562 2243587
0 76 0.71 2238074 2249099
1 69 0.71 2243587 2254612
0 77 0.71 2249099 2260124
1 69 0.71 2254612 2265637
0 74 0.71 2260124 2271149
1 69 0.71 2265637 2276662
0 76 0.71 2271149 2282174
1 69 0.71 2276662 2287687
0 73 0.71 2282174 2293199
1 69 0.71 2287687 2293199
0 74 0.71 2293199 2304224
1 69 0.71 2304224 2309737
0 69 0.71 2309737 2315249
1 69 0.71 2309737 2320762
0 70 0.71 2315249 2326274
1 69 0.71 2320762 2331787
0 67 0.71 2326274 2337299
1 69 0.71 2337299 2342812
0 69 0.71 2342812 2348324
1 69 0.71 2342812 2353837
0 65 0.71 2348324 2359349
1 69 0.71 2353837 2364862
0 67 0.71 2359349 2370374
1 69 0.71 2364862 2375887
0 64 0.71 2370374 2381399
1 69 0.71 2375887 2386912
0 65 0.71 2381399 2392424
1 69 0.71 2386912 2397937
0 62 0.71 2392424 2403449
1 69 0.71 2397937 2408962
0 67 0.71 2403449 2414474
1 69 0.71 2408962 2419987
0 64 0.71 2414474 2425499
1 69 0.71 2419987 2431012
0 65 0.71 2425499 2436524
1 69 0.71 2431012 2442037
0 62 0.71 2436524 2447549
1 69 0.71 2442037 2453062
0 64 0.71 2447549 2458574
1 69 0.71 2453062 2464087
0 61 0.71 2458574 2469599
1 69 0.71 2464087 2469599
0 62 0.71 2469599 2480624
1 69 0.71 2475112 2486137
0 57 0.71 2480624 2491649
1 69 0.71 2486137 2497162
0 58 0.71 2491649 2502674
1 69 0.71 2497162 2508187
0 55 0.71 2502674 2513699
1 69 0.71 2508187 2519212
0 57 0.71 2513699 2524724
1 69 0.71 2519212 2530237
0 53 0.71 2524724 2535749
1 69 0.71 2530237 2541262
0 55 0.71 2535749 2546774
1 69 0.71 2541262 2552287
0 52 0.71 2546774 2557799
1 69 0.71 2552287 2563312
0 53 0.71 2557799 2568824
1 69 0.71 2563312 2574337
0 50 0.71 2568824 2579849
1 69 0.71 2574337 2585362
0 55 0.71 2579849 2590874
1 69 0.71 2585362 2596387
0 52 0.71 2590874 2601899
1 69 0.71 2596387 2607412
0 53 0.71 2601899 2612924
1 69 0.71 2607412 2618437
0 50 0.71 2612924 2623949
