3969001
2
4 2 0.4 0.02
5 0 0.4 0.02
0 56 0.5 1095149 1102454
1 60 0.63 1095149 1102454
0 65 0.5 1080449 1118991
1 62 0.63 1102499 1118991
0 70 0.5 1119037 1124504
0 46 0.5 1102499 1124504
0 58 0.5 1102499 1124504
1 62 0.63 1119037 1124504
0 70 0.5 1124549 1130016
1 62 0.63 1124549 1130016
0 72 0.5 1130062 1135529
1 63 0.63 1130062 1135529
0 74 0.5 1135574 1141041
1 65 0.63 1135574 1141041
0 75 0.5 1141087 1146554
0 46 0.5 1124549 1146554
0 58 0.5 1124549 1146554
1 67 0.63 1141087 1146554
1 46 0.5 1124549 1146554
1 68 0.63 1146599 1163091
0 44 0.63 1146599 1168604
0 56 0.5 1146599 1168604
1 70 0.63 1163137 1168604
1 70 0.63 1168649 1174116
0 44 0.5 1168649 1175954
0 56 0.5 1168649 1175954
1 72 0.63 1174162 1179629
0 44 0.5 1175999 1183304
0 56 0.5 1175999 1183304
1 74 0.63 1179674 1185141
0 77 0.5 1146599 1190654
0 42 0.5 1183349 1190654
0 54 0.5 1183349 1190654
1 75 0.63 1185187 1190654
0 77 0.5 1201724 1212704
0 44 0.5 1190699 1212704
0 56 0.5 1190699 1212704
1 77 0.5 1201724 1212704
0 77 0.5 1212749 1220054
1 68 0.63 1212749 1220054
0 78 0.5 1220099 1227404
1 70 0.63 1220099 1227404
0 80 0.5 1227449 1234754
0 44 0.5 1212749 1234754
0 56 0.5 1212749 1234754
1 72 0.63 1227449 1234754
1 44 0.5 1212749 1234754
0 42 0.63 1234799 1256804
0 54 0.5 1234799 1256804
0 42 0.5 1256849 1264154
0 54 0.5 1256849 1264154
0 42 0.5 1264199 1271504
0 54 0.5 1264199 1271504
0 82 0.5 1234799 1278854
0 40 0.5 1271549 1278854
0 52 0.5 1271549 1278854
1 73 0.63 1234799 1278854
0 42 0.5 1278899 1300904
0 54 0.5 1278899 1300904
0 85 0.5 1300949 1322954
0 42 0.5 1300949 1322954
0 54 0.5 1300949 1322954
1 76 0.63 1300949 1322954
1 79 0.63 1300949 1322954
1 42 0.5 1300949 1322954
0 84 0.5 1322999 1345004
0 41 0.63 1322999 1345004
0 53 0.5 1322999 1345004
1 75 0.63 1322999 1345004
1 77 0.63 1322999 1345004
0 41 0.5 1345049 1352354
0 53 0.5 1345049 1352354
0 41 0.5 1352399 1359704
0 53 0.5 1352399 1359704
0 81 0.5 1345049 1367054
0 39 0.5 1359749 1367054
0 51 0.5 1359749 1367054
1 72 0.63 1345049 1367054
1 75 0.63 1345049 1367054
0 41 0.5 1367099 1389104
0 53 0.5 1367099 1389104
0 77 0.5 1389149 1411154
0 41 0.5 1389149 1411154
0 53 0.5 1389149 1411154
1 69 0.63 1389149 1411154
1 72 0.63 1389149 1411154
1 41 0.5 1389149 1411154
0 40 0.63 1411199 1418504
0 46 0.5 1418549 1425854
0 49 0.5 1425899 1433204
0 52 0.5 1433249 1440554
0 58 0.5 1440599 1447904
